Country,1,2,3,4,5,6,7,8,9,10
South Korea,31.6 %,9.2 %,10.6 %,9.7 %,22.1 %,6.1 %,5.2 %,3.2 %,1.0 %,1.2 %
Poland,50.5 %,8.1 %,5.9 %,4.3 %,15.5 %,3.8 %,4.1 %,3.4 %,1.6 %,2.8 %
Switzerland,14.5 %,5.6 %,8.5 %,4.9 %,19.7 %,7.9 %,7.5 %,12.5 %,5.9 %,13.1 %
Brazil,63.1 %,7.0 %,6.4 %,3.3 %,10.3 %,1.4 %,2.1 %,2.2 %,0.7 %,3.4 %
Chile,59.9 %,6.5 %,6.4 %,2.9 %,10.9 %,2.6 %,4.0 %,2.6 %,0.9 %,3.4 %
India,58.9 %,-,-,14.2 %,-,11.1 %,-,7.4 %,-,8.4 %
Slovenia,-,-,-,-,5.5 %,18.3 %,10.5 %,14.8 %,12.2 %,38.7 %
Bulgaria,16.7 %,6.5 %,5.6 %,6.6 %,15.4 %,7.4 %,7.0 %,9.6 %,8.9 %,16.3 %
Romania,48.4 %,5.9 %,6.8 %,5.5 %,12.9 %,4.6 %,4.5 %,4.8 %,2.3 %,4.4 %
China,68.0 %,9.3 %,5.1 %,3.1 %,4.7 %,3.3 %,1.7 %,1.9 %,0.9 %,2.0 %
Taiwan,34.0 %,7.9 %,11.5 %,6.8 %,20.1 %,8.9 %,3.6 %,3.9 %,1.1 %,2.2 %
Turkey,62.1 %,9.2 %,6.5 %,4.1 %,7.4 %,3.9 %,2.7 %,1.2 %,0.6 %,2.2 %
Ukraine,30.6 %,10.2 %,8.0 %,7.2 %,17.1 %,10.1 %,6.9 %,4.5 %,2.6 %,2.8 %
Russian Federation,34.1 %,4.9 %,6.2 %,5.6 %,21.4 %,7.8 %,5.9 %,3.8 %,2.6 %,7.8 %
Uruguay,33.8 %,4.4 %,3.6 %,4.8 %,19.7 %,6.1 %,6.1 %,5.6 %,4.8 %,11.1 %
Ghana,64.6 %,10.9 %,7.1 %,4.1 %,3.4 %,2.8 %,1.5 %,2.3 %,1.7 %,1.7 %
Moldova,46.3 %,8.2 %,6.8 %,6.2 %,13.5 %,5.9 %,4.2 %,4.3 %,2.5 %,2.2 %
Georgia,53.7 %,6.4 %,8.5 %,10.2 %,12.0 %,4.0 %,2.1 %,2.2 %,0.6 %,0.3 %
Thailand,36.7 %,24.5 %,17.0 %,9.5 %,7.9 %,1.7 %,0.9 %,1.0 %,0.4 %,0.3 %
Indonesia,84.2 %,5.7 %,3.0 %,1.4 %,1.8 %,1.1 %,1.0 %,0.5 %,0.8 %,0.6 %
Viet Nam,54.8 %,9.6 %,7.1 %,6.9 %,15.9 %,3.6 %,0.9 %,0.3 %,0.5 %,0.4 %
Colombia,74.0 %,6.3 %,3.9 %,2.7 %,5.1 %,2.1 %,2.1 %,1.7 %,0.7 %,1.5 %
Serbia,24.2 %,6.9 %,8.4 %,5.9 %,14.3 %,10.4 %,5.7 %,9.1 %,5.8 %,9.4 %
New Zealand,16.3 %,5.7 %,7.8 %,6.3 %,17.2 %,11.6 %,8.5 %,12.8 %,5.3 %,8.5 %
Morocco,76.1 %,3.8 %,6.0 %,3.5 %,6.9 %,0.8 %,1.1 %,0.6 %,0.2 %,1.1 %
Iran,61.3 %,10.2 %,6.8 %,4.5 %,7.7 %,2.8 %,2.0 %,1.8 %,0.9 %,1.8 %
Jordan,93.3 %,1.2 %,1.5 %,1.3 %,1.4 %,0.7 %,0.2 %,0.1 %,0.1 %,*
Cyprus,39.1 %,7.1 %,7.9 %,7.1 %,9.3 %,8.3 %,4.3 %,5.0 %,4.7 %,7.3 %
Iraq,84.7 %,7.2 %,2.3 %,1.8 %,1.1 %,0.8 %,0.5 %,0.4 %,0.5 %,0.6 %
Guatemala,65.1 %,9.8 %,5.6 %,3.1 %,5.8 %,3.1 %,1.9 %,1.6 %,1.4 %,2.6 %
Hong Kong,36.8 %,8.3 %,9.5 %,6.4 %,13.1 %,12.6 %,5.5 %,4.6 %,0.6 %,2.5 %
Trinidad and Tobago,63.6 %,6.6 %,4.3 %,3.9 %,14.2 %,2.9 %,2.0 %,0.9 %,0.4 %,1.3 %
Andorra,8.6 %,1.5 %,2.3 %,2.6 %,22.3 %,6.0 %,6.6 %,10.0 %,6.7 %,33.3 %
Malaysia,43.0 %,14.0 %,8.0 %,6.0 %,11.8 %,8.3 %,4.1 %,2.1 %,1.6 %,1.1 %
Burkina Faso,64.4 %,5.8 %,6.1 %,4.5 %,8.5 %,2.2 %,1.4 %,1.6 %,1.2 %,4.3 %
Ethiopia,63.1 %,17.0 %,3.6 %,2.1 %,3.6 %,1.0 %,0.9 %,1.3 %,1.4 %,5.8 %
Mali,55.1 %,6.3 %,3.1 %,3.5 %,8.0 %,2.0 %,3.2 %,3.3 %,3.0 %,12.6 %
Rwanda,67.3 %,18.2 %,5.4 %,2.3 %,2.3 %,1.6 %,1.3 %,0.6 %,0.7 %,0.5 %
Zambia,46.6 %,9.8 %,8.8 %,5.2 %,8.8 %,6.8 %,3.5 %,2.8 %,2.3 %,5.3 %
Germany,15.4 %,7.5 %,8.2 %,6.7 %,18.6 %,10.3 %,8.3 %,9.8 %,3.6 %,11.6 %
