Country,1,2,3,4,5,6,7,8,9,10
Brazil,47.5 %,8.6 %,6.2 %,4.8 %,18.1 %,2.7 %,3.5 %,3.3 %,1.0 %,4.2 %
Chile,40.2 %,5.9 %,8.0 %,7.7 %,18.7 %,4.9 %,4.1 %,3.8 %,2.4 %,4.3 %
India,63.0 %,-,-,12.3 %,-,9.3 %,-,5.9 %,-,9.5 %
Slovenia,-,-,-,-,6.4 %,18.0 %,10.5 %,15.5 %,11.0 %,38.6 %
Bulgaria,46.0 %,14.1 %,8.9 %,4.3 %,9.2 %,5.3 %,4.2 %,2.5 %,2.2 %,3.3 %
Romania,69.2 %,7.0 %,5.1 %,3.1 %,6.8 %,2.4 %,2.1 %,1.5 %,1.2 %,1.6 %
China,83.8 %,8.6 %,2.1 %,1.1 %,1.1 %,1.3 %,0.3 %,0.3 %,0.1 %,1.2 %
Taiwan,47.5 %,7.5 %,10.6 %,5.2 %,15.4 %,6.5 %,3.0 %,2.3 %,0.3 %,1.5 %
Turkey,72.8 %,9.8 %,5.0 %,3.7 %,4.4 %,1.3 %,2.0 %,0.3 %,0.1 %,0.7 %
Ukraine,57.3 %,9.1 %,6.9 %,5.1 %,9.4 %,5.9 %,3.1 %,1.7 %,0.8 %,0.7 %
Russian Federation,65.8 %,6.8 %,5.9 %,3.1 %,9.0 %,2.5 %,2.7 %,1.2 %,0.6 %,2.5 %
Uruguay,21.0 %,3.8 %,3.5 %,4.4 %,27.6 %,10.0 %,7.7 %,6.1 %,3.6 %,12.4 %
Ghana,68.7 %,12.1 %,4.9 %,3.0 %,2.9 %,1.8 %,1.0 %,1.4 %,1.8 %,2.4 %
Moldova,61.6 %,8.2 %,6.0 %,5.3 %,8.0 %,3.0 %,2.4 %,3.2 %,0.7 %,1.6 %
Georgia,90.6 %,5.0 %,2.9 %,0.8 %,0.3 %,0.1 %,0.1 %,-,0.1 %,-
Thailand,29.1 %,22.0 %,20.6 %,12.9 %,10.3 %,2.0 %,1.2 %,1.0 %,0.5 %,0.5 %
Indonesia,88.3 %,4.5 %,1.5 %,0.7 %,1.6 %,0.8 %,0.9 %,0.3 %,0.8 %,0.7 %
Viet Nam,78.8 %,7.8 %,2.4 %,1.4 %,9.0 %,0.3 %,0.1 %,-,0.1 %,0.1 %
Colombia,72.3 %,6.3 %,4.8 %,3.3 %,7.1 %,2.3 %,1.3 %,1.1 %,0.5 %,1.0 %
Serbia,37.2 %,5.9 %,4.3 %,3.6 %,8.7 %,6.7 %,4.8 %,6.7 %,6.6 %,15.6 %
New Zealand,25.1 %,7.4 %,9.5 %,4.9 %,14.6 %,12.3 %,8.5 %,8.6 %,2.8 %,6.3 %
Iran,82.6 %,7.5 %,2.5 %,1.4 %,1.8 %,0.4 %,1.1 %,1.0 %,0.6 %,1.1 %
Jordan,99.6 %,0.2 %,0.1 %,-,*,-,-,-,-,*
Cyprus,52.0 %,9.9 %,11.1 %,7.2 %,7.0 %,5.6 %,2.8 %,1.4 %,1.6 %,1.5 %
Guatemala,48.8 %,12.9 %,8.8 %,5.6 %,8.4 %,5.8 %,2.6 %,2.8 %,1.9 %,2.2 %
Hong Kong,43.4 %,8.3 %,10.5 %,6.5 %,10.9 %,9.1 %,5.1 %,3.6 %,0.3 %,2.3 %
Trinidad and Tobago,70.5 %,5.0 %,4.1 %,4.0 %,10.4 %,3.2 %,1.0 %,0.7 %,0.3 %,0.9 %
Andorra,18.7 %,3.7 %,4.1 %,3.6 %,26.0 %,5.8 %,5.9 %,8.2 %,3.8 %,20.2 %
Malaysia,45.2 %,12.1 %,6.8 %,7.2 %,11.6 %,7.7 %,3.9 %,2.8 %,1.3 %,1.4 %
Burkina Faso,65.7 %,7.6 %,6.7 %,3.3 %,6.6 %,1.9 %,1.7 %,1.5 %,1.0 %,3.9 %
Ethiopia,67.6 %,18.6 %,2.6 %,0.9 %,3.0 %,0.6 %,1.1 %,1.0 %,0.7 %,3.9 %
Mali,55.8 %,7.3 %,3.7 %,3.7 %,7.7 %,1.8 %,3.3 %,3.3 %,2.6 %,10.7 %
Rwanda,68.4 %,17.1 %,5.9 %,2.2 %,2.3 %,1.0 %,0.9 %,0.9 %,0.7 %,0.6 %
Zambia,45.4 %,8.8 %,9.7 %,7.3 %,8.5 %,7.0 %,4.6 %,1.8 %,1.8 %,4.9 %
Germany,24.0 %,7.3 %,10.0 %,7.4 %,17.5 %,8.5 %,7.2 %,8.5 %,2.8 %,6.6 %
